date_index,entity_index,count
0,0,1
0,1,0
0,2,1
0,3,1
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,1
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
2,14,0
3,0,2
3,1,0
3,2,2
3,3,1
3,4,0
3,5,0
3,6,0
3,7,1
3,8,0
3,9,0
3,10,0
3,11,1
3,12,0
3,13,0
3,14,0
4,0,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
5,0,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
6,0,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,0
6,8,0
6,9,0
6,10,0
6,11,0
6,12,0
6,13,0
6,14,0
7,0,117
7,1,65
7,2,148
7,3,224
7,4,38
7,5,158
7,6,25
7,7,7
7,8,14
7,9,24
7,10,48
7,11,11
7,12,1
7,13,43
7,14,16
8,0,45
8,1,63
8,2,52
8,3,108
8,4,18
8,5,81
8,6,28
8,7,3
8,8,9
8,9,18
8,10,24
8,11,4
8,12,0
8,13,27
8,14,5
9,0,6
9,1,14
9,2,6
9,3,16
9,4,6
9,5,10
9,6,5
9,7,0
9,8,0
9,9,4
9,10,4
9,11,1
9,12,0
9,13,1
9,14,0
10,0,220
10,1,181
10,2,264
10,3,363
10,4,115
10,5,273
10,6,45
10,7,70
10,8,39
10,9,95
10,10,118
10,11,31
10,12,23
10,13,69
10,14,64
11,0,72
11,1,97
11,2,87
11,3,208
11,4,50
11,5,177
11,6,29
11,7,13
11,8,16
11,9,32
11,10,52
11,11,11
11,12,5
11,13,72
11,14,24
12,0,33
12,1,29
12,2,47
12,3,69
12,4,15
12,5,98
12,6,10
12,7,4
12,8,10
12,9,9
12,10,13
12,11,2
12,12,0
12,13,29
12,14,14
13,0,8
13,1,20
13,2,12
13,3,63
13,4,14
13,5,56
13,6,6
13,7,3
13,8,2
13,9,10
13,10,20
13,11,3
13,12,0
13,13,19
13,14,34
14,0,10
14,1,24
14,2,12
14,3,70
14,4,5
14,5,45
14,6,8
14,7,8
14,8,3
14,9,6
14,10,25
14,11,3
14,12,1
14,13,17
14,14,9
15,0,2
15,1,8
15,2,2
15,3,15
15,4,1
15,5,13
15,6,4
15,7,2
15,8,0
15,9,3
15,10,5
15,11,0
15,12,0
15,13,3
15,14,5
16,0,1
16,1,3
16,2,2
16,3,2
16,4,3
16,5,0
16,6,0
16,7,0
16,8,0
16,9,2
16,10,0
16,11,0
16,12,0
16,13,0
16,14,2
17,0,0
17,1,2
17,2,0
17,3,2
17,4,0
17,5,2
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
17,11,0
17,12,0
17,13,2
17,14,0
18,0,0
18,1,0
18,2,0
18,3,1
18,4,0
18,5,1
18,6,0
18,7,0
18,8,0
18,9,0
18,10,0
18,11,0
18,12,0
18,13,3
18,14,0
19,0,0
19,1,1
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
19,11,0
19,12,0
19,13,0
19,14,0
20,0,1
20,1,0
20,2,1
20,3,0
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
20,11,0
20,12,0
20,13,0
20,14,0
21,0,0
21,1,0
21,2,0
21,3,1
21,4,0
21,5,0
21,6,0
21,7,0
21,8,0
21,9,0
21,10,1
21,11,0
21,12,0
21,13,0
21,14,0
22,0,0
22,1,0
22,2,0
22,3,0
22,4,0
22,5,0
22,6,0
22,7,0
22,8,0
22,9,0
22,10,0
22,11,0
22,12,0
22,13,0
22,14,0
23,0,0
23,1,0
23,2,1
23,3,1
23,4,0
23,5,1
23,6,0
23,7,0
23,8,0
23,9,0
23,10,0
23,11,0
23,12,0
23,13,1
23,14,0
24,0,3
24,1,2
24,2,3
24,3,8
24,4,1
24,5,3
24,6,0
24,7,0
24,8,1
24,9,2
24,10,0
24,11,0
24,12,0
24,13,0
24,14,1
25,0,1
25,1,1
25,2,1
25,3,0
25,4,0
25,5,1
25,6,1
25,7,0
25,8,0
25,9,1
25,10,1
25,11,0
25,12,0
25,13,0
25,14,0
26,0,0
26,1,1
26,2,0
26,3,0
26,4,0
26,5,1
26,6,0
26,7,0
26,8,0
26,9,0
26,10,0
26,11,0
26,12,0
26,13,0
26,14,0
27,0,0
27,1,0
27,2,0
27,3,0
27,4,0
27,5,0
27,6,0
27,7,0
27,8,0
27,9,0
27,10,0
27,11,0
27,12,0
27,13,0
27,14,0
28,0,0
28,1,0
28,2,0
28,3,0
28,4,0
28,5,0
28,6,0
28,7,0
28,8,0
28,9,0
28,10,0
28,11,0
28,12,0
28,13,0
28,14,0
29,0,0
29,1,1
29,2,0
29,3,1
29,4,0
29,5,1
29,6,1
29,7,1
29,8,0
29,9,0
29,10,0
29,11,0
29,12,0
29,13,0
29,14,0
