feature,weight
熔断机制,99
熔断,57
市场,40
机制,38
股市,34
中国,33
注册制,32
做空,31
涨跌停板,29
交易,27
股票,21
股东减持,21
基金,21
投资,21
投资者,20
暂停熔断,20
熔断制度,20
A股,20
期货,20
救市,19
股指,19
经济,19
机构,19
股民,19
跌停,19
新股发行,18
下跌,18
减持,18
制度,18
管理,18
指数,17
应该,17
暂停交易,17
问题,17
指数熔断,16
市场恐慌,16
暴跌,16
公司,16
市场波动,16
保护投资者,16
停止交易,16
暂停,16
已经,16
恐慌情绪,15
股跌停,15
人民币贬值,15
涨跌幅,15
时间,15
股东,15
恐慌,15
股灾,15
国家,15
散户,15
公募基金,14
跌幅,14
证券,14
监管,14
风险,14
限制,14
美国,14
股市下跌,13
政策,13
涨跌,13
熔断阈值,13
稳定市场,13
市暴跌,13
股市暴跌,13
价值投资,13
触发,13
认为,13
波动,13
情况,13
人民币,13
出现,13
推出,13
大跌,13
取消,13
知道,13
管理层,13
私募基金,12
市场稳定,12
提前收盘,12
股市大跌,12
价格,12
实施,12
稳定,12
需要,12
开盘,12
肖钢,12
原因,12
资金,12
注册,12
监管机构,11
指数跌,11
稳定股市,11
适合中国,11
导致,11
流动性,11
作用,11
跌停板,11
