feature,weight
熔断,1485
市场,763
机制,676
熔断机制,567
股市,543
中国,498
交易,345
股票,222
投资,214
基金,210
投资者,203
A股,187
期货,184
经济,183
股指,177
机构,177
股民,176
跌停,175
下跌,165
管理,158
制度,157
减持,156
指数,151
应该,148
问题,142
暴跌,135
公司,131
已经,124
暂停,123
恐慌,111
散户,110
时间,108
股东,105
国家,105
股灾,104
监管,103
证券,102
美国,100
跌幅,99
风险,97
限制,97
政策,92
涨跌,88
认为,86
触发,85
情况,84
取消,84
推出,83
波动,82
出现,82
大跌,82
管理层,81
人民币,80
知道,80
开盘,79
注册,78
需要,77
原因,77
实施,76
价格,74
资金,74
稳定,73
肖钢,73
跌停板,71
导致,69
改革,69
直接,69
流动性,68
继续,68
规则,68
作用,64
大盘,64
注册制,61
发展,60
影响,59
金融,59
资本,59
造成,59
保护,59
一定,58
新股,57
做空,56
建议,55
价值,55
机会,55
进行,54
发行,53
专家,53
规定,52
提前,52
企业,51
政府,51
正常,50
实行,50
涨跌停板,48
恢复,48
发生,48
要求,47
行情,46
私募,46
