收评：千股跌停触发熔断 暴跌三大原因,21,400
基金业集体请愿监管层改进熔断制度,24,398
熔断机制之父称中国搞错了：应扩大波幅,26,395
谁是四天四次熔断的罪魁祸首？五大原因,24,390
李迅雷：熔断有必要暂停但不应取消 周五应全天休市,25,315
调查：您认为熔断机制有助于减少市场波动吗？,21,282
A股熔断速度:155分钟6.66万亿财富不见 股民人均亏超10万,24,239
四大专家评暂停熔断：非常及时 应为监管点赞,25,210
今起暂停实施熔断机制 证监会称将总结经验教训,25,200
证监会盘前紧急声明：将约束大股东减持 熔断机制保护投资者,22,200
快讯：沪深300指数盘中跌5% 触发熔断机制,21,200
十二位专家解读：熔断机制加剧市场波动,21,200
股市熔断之后你需要关注的六大问题,21,198
私募大佬但斌再发声：熔断等于加速股灾形成,24,198
彭博：中国证监会正在召开紧急会议研究熔断机制,24,197
熔断暂停 大管家肖钢还面临哪些难题,25,196
一个空头的独白：熔断机制的漏洞,24,192
检察日报刊文:熔断几万亿 这样的“试验”谁承担得起,28,191
叶檀：熔断不合理助长恐慌 今年沪指三千是底？,22,182
邱晓华：熔断制度实际上人为制造股灾 应暂缓,24,182
争议熔断机制 机构:不会重蹈“股灾”行情有望修复,22,181
李大霄：将市场下跌归因熔断机制是不客观的,24,173
油价要不要赶熔断时髦 中石油:上封顶下封底才能真公平,22,167
韩国KOSDAQ创业板大跌8.2%触发熔断,60,160
首度熔断后建言客户赎回 “最有良心”基金经理被处罚,66,140
李稻葵发声：熔断在中国为什么搞不通？ ,26,136
邓海清：建议放宽熔断机制触发线,24,126
从钢铁侠变成白头翁 你们会怀念“熔断先生”肖钢,69,122
四天4度熔断 基金集体请愿监管层改进熔断机制,24,95
罗杰斯：建议A股彻底取消熔断机制   ,27,84
熔断惊魂：散户称炒股十几年感觉被一棍子打蒙了,27,75
德银：A股熔断机制适得其反 加大波动率,22,70
李大霄：投资者毋需对熔断机制恐慌 增持公司不必过多担心,21,67
A股迎来史上最短交易日 分析师称不排除熔断机制遭暂停,24,66
创业板公司称已接监管示意 禁减令到期难成熔断催化剂,22,62
熔断下的投资者众生相：炒股20年第一次见如此奇葩,27,56
A股熔断暴跌 只为养老金入市,24,56
A股年内二次熔断 多机构称汇率贬值是核心诱因,24,54
华生：熔断机制不仅多余还制造恐慌 应立即废止,24,54
A股史上最贵测试：新年首个交易日触发2次熔断 提前结束交易 ,21,53
一名客户经理的熔断时间：全部家当近半被套,58,52
辞职炒股的年轻人：成于杠杆 败在熔断,58,51
上交所释疑熔断后指数跌幅与熔断阈值存在偏差,24,50
罗杰斯：建议A股彻底取消熔断机制,26,48
方星海达沃斯论坛发言汇总：熔断不适合中国,38,47
公私募大佬：熔断机制是画蛇添足 建议取消！ ,24,45
三私募详述熔断初体验 惊魂六分钟股票卖不动,22,42
四问熔断机制：证监会面临人才危机？是否应追责？,28,42
争议熔断：与涨停板制度互斥 熔断幅度阈值过小,22,41
主力在利用熔断机制血洗散户 十大博客看后市,21,39
